country,min,q_25,mean_r,q_75,max,n_reviews,rank
Bosnia and Herzegovina,4.2,4.5,4.56583333333333,4.7,4.9,365.708333333333,1
Croatia,4,4.5,4.55714285714286,4.7,4.9,714.773109243698,2
Ukraine,3.4,4.5,4.54916666666667,4.7,4.9,1323.475,3
Costa Rica,4,4.5,4.54649122807018,4.7,4.8,380.30701754386,4
Serbia,4,4.5,4.545,4.6,4.8,751.575,5
Puerto Rico,3.8,4.4,4.54017094017094,4.7,4.9,540.358974358974,6
Iceland,3.6,4.4,4.53333333333333,4.6,4.9,405.583333333333,7
Russia,4.1,4.5,4.52773109243698,4.6,4.8,814.453781512605,8
Romania,3.9,4.4,4.52016806722689,4.7,5,977.546218487395,9
Colombia,3.9,4.4,4.515,4.6,4.8,846.316666666667,10
Latvia,4,4.4,4.51166666666667,4.6,5,589.266666666667,11
Guatemala,3.7,4.4,4.51018518518519,4.6,4.9,452.592592592593,12
Panama,3.9,4.4,4.50803571428572,4.6,4.9,475.553571428571,13
Ecuador,3.8,4.4,4.50254237288136,4.6,4.8,391.745762711864,14
Hungary,3.8,4.4,4.5025,4.625,4.9,1060.2,15
Lithuania,3.5,4.4,4.49916666666667,4.6,4.9,563.941666666667,16
Montenegro,3.7,4.4,4.4968085106383,4.6,4.9,93.4468085106383,17
Armenia,3.2,4.4,4.49385964912281,4.7,5,146.850877192982,18
Estonia,3.2,4.4,4.49067796610169,4.7,4.8,575.864406779661,19
Chile,4.1,4.4,4.48632478632479,4.6,4.8,964.786324786325,20
Moldova,3.5,4.4,4.48556701030928,4.6,4.8,577.113402061856,21
Slovenia,3.5,4.4,4.48034188034188,4.6,4.9,460.324786324786,22
New Zealand,3.9,4.3,4.4725,4.6,4.9,369.475,23
Cyprus,3.4,4.4,4.47117117117117,4.6,5,115.657657657658,24
Mexico,4,4.4,4.47083333333333,4.6,4.8,2277.70833333333,25
Ireland,3.8,4.4,4.46916666666667,4.6,4.8,808.316666666667,26
Slovakia,3.1,4.3,4.46833333333333,4.6,4.9,553.425,27
Czech Republic,2.1,4.4,4.46638655462185,4.6,4.9,1016.70588235294,28
Portugal,3.4,4.3,4.46271186440678,4.6,4.9,701,29
Poland,2.7,4.4,4.4625,4.6,4.9,901.175,30
Indonesia,3.7,4.4,4.46134453781513,4.5,4.8,1014.15966386555,31
Canada,3.4,4.4,4.46,4.6,4.9,555.7,32
Kosovo,3.9,4.3,4.45869565217391,4.6,5,82.25,33
Austria,3.7,4.3,4.44583333333333,4.6,4.9,1189.13333333333,34
Peru,4,4.3,4.44201680672269,4.6,4.7,932.126050420168,35
Kazakhstan,3.6,4.3,4.43727272727273,4.6,4.9,370.1,36
United States,3.3,4.4,4.43613445378151,4.6,4.9,914.596638655462,37
Greece,3.3,4.3,4.43418803418803,4.6,4.9,772.393162393162,38
Bulgaria,2.9,4.2,4.42758620689655,4.6,4.9,682.043103448276,39
Brazil,3.1,4.3,4.42627118644068,4.6,4.8,1276.64406779661,40
Dominican Republic,3.6,4.35,4.42162162162162,4.6,4.8,715.432432432432,41
El Salvador,3.8,4.4,4.42072072072072,4.5,4.7,545.135135135135,42
Belarus,3.2,4.4,4.41794871794872,4.6,4.8,1006.36752136752,43
Paraguay,3.8,4.3,4.41637931034483,4.6,4.8,718.629310344828,44
North Macedonia,3.4,4.3,4.41574074074074,4.525,5,432.953703703704,45
Netherlands,3.7,4.3,4.415,4.6,4.8,598.775,46
United Kingdom,3.3,4.3,4.41083333333333,4.6,4.9,808.583333333333,47
Denmark,3.1,4.2,4.40583333333333,4.6,4.9,469.216666666667,48
Uruguay,2.8,4.3,4.39915966386555,4.55,5,635.151260504202,49
Finland,3.7,4.2,4.395,4.6,4.8,424.991666666667,50
Malta,2.3,4.3,4.39326923076923,4.6,4.9,272.413461538462,51
Jersey,2.8,4.3,4.39207920792079,4.6,5,112.663366336634,52
Georgia,3.5,4.2,4.38815789473684,4.6,4.9,364.355263157895,53
Venezuela,3.6,4.4,4.38727272727273,4.5,4.8,419.390909090909,54
Argentina,3.7,4.2,4.37,4.5,4.7,2253.45833333333,55
Aruba,3.7,4.2,4.36875,4.6,4.9,201.6,56
Spain,3.2,4.3,4.36833333333333,4.6,4.9,988.3,57
Switzerland,3.1,4.2,4.36551724137931,4.6,5,302.120689655172,58
Curacao,3.5,4.3,4.36477272727273,4.5,4.8,208.715909090909,59
Isle of Man,3.5,4.2,4.3625,4.525,4.8,115.136363636364,60
France,3.1,4.1,4.36,4.6,4.9,745.066666666667,61
Nicaragua,3.4,4.3,4.35925925925926,4.5,4.8,234.194444444444,62
Albania,3.3,4.2,4.359,4.5,5,110.4,63
Bermuda,3.7,4.2,4.3578125,4.6,4.8,92.75,64
Cuba,2.4,4.225,4.35571428571429,4.6,4.8,333.871428571429,65
Thailand,2.3,4.2,4.35140186915888,4.5,5,297.654205607477,66
Guernsey,3.5,4.2,4.35,4.5,4.7,144.048387096774,67
Monaco,3.7,4.2,4.34918032786885,4.5,4.7,283.27868852459,68
Norway,3.2,4.1,4.3475,4.6,4.9,361.208333333333,69
Honduras,3.6,4.2,4.34553571428571,4.5,4.9,372.892857142857,70
Sweden,2.3,4.2,4.34083333333333,4.5,4.9,540.858333333333,71
South Africa,3.3,4.2,4.34035087719298,4.5,4.9,512.956140350877,72
Bonaire,3.5,4.2,4.33636363636364,4.575,4.9,121.969696969697,73
Israel,3.6,4.2,4.3327731092437,4.5,5,700.53781512605,74
Germany,3.6,4.2,4.32916666666667,4.5,4.8,942.308333333333,75
Lebanon,3.8,4.2,4.32203389830509,4.5,4.8,431.449152542373,76
Cambodia,3.6,4.2,4.32136752136752,4.5,4.9,212.102564102564,77
Kyrgyzstan,3.5,4.2,4.31623931623932,4.5,4.8,526.794871794872,78
Qatar,3.9,4.2,4.31452991452991,4.4,4.9,372.478632478633,79
Belgium,3.5,4.175,4.3,4.5,4.8,785.525,80
Vietnam,2.8,4.2,4.29915966386555,4.4,4.8,603.042016806723,81
Uzbekistan,3.5,4.2,4.29911504424779,4.5,4.8,117.610619469027,82
Kenya,3,4.2,4.2981981981982,4.5,4.8,728.513513513514,83
Cayman Islands,3.5,4.1,4.29577464788732,4.5,4.8,130.464788732394,84
Italy,2,4.2,4.29416666666667,4.5,4.8,739.625,85
China,3.5,4.1,4.29375,4.5,4.8,62.453125,86
Barbados,3.8,4.1,4.29135802469136,4.5,4.8,285.123456790123,87
Luxembourg,3.1,4.1,4.28974358974359,4.5,4.8,220.820512820513,88
Azerbaijan,2.7,4.2,4.28962264150943,4.5,4.9,168.405660377359,89
Taiwan,3.6,4.1,4.28833333333333,4.5,4.8,1271.69166666667,90
Sri Lanka,3.7,4.2,4.28571428571429,4.4,4.7,684.924369747899,91
Tajikistan,3.3,4.1,4.28041237113402,4.4,5,170.917525773196,92
Turkey,2.5,4.2,4.27563025210084,4.45,4.8,494.403361344538,93
United Arab Emirates,3.5,4.125,4.27372881355932,4.4,4.9,259.813559322034,94
Vatican City,2,4.2,4.2735632183908,4.5,4.9,501.64367816092,95
Mongolia,3.6,4.1,4.273,4.4,4.9,124.56,96
Japan,3.6,4.025,4.2688679245283,4.5,4.9,451.009433962264,97
Philippines,3.8,4.2,4.26725663716814,4.4,4.7,271.353982300885,98
Turkmenistan,3.4,4,4.26119402985075,4.5,4.9,28.3432835820896,99
Laos,3.5,4.1,4.25086206896552,4.4,4.8,142.931034482759,100
Andorra,3.5,4.1,4.25060240963855,4.5,4.9,167.734939759036,101
Australia,3.2,4.1,4.24786324786325,4.4,4.8,237.923076923077,102
Jordan,3.3,4.1,4.2475,4.4,4.8,673.175,103
South Korea,3.4,4.1,4.24083333333333,4.4,4.9,501.316666666667,104
India,3.4,4.1,4.23583333333333,4.4,4.6,2472.09166666667,105
Bahamas,3.1,4.1,4.23414634146342,4.4,4.9,299.963414634146,106
Ghana,3.3,4.1,4.22745098039216,4.375,4.7,402.794117647059,107
Malaysia,3.3,4.1,4.2225,4.4,4.8,463.216666666667,108
